elapsedTime,flux,concentration
0,8.2555,485
3,16.7472,728
6,41.7244,694
9,43.01,518
12,44.6,660
15,44.6556,852
18,42.6058,930
21,40.4836,1190
24,37.589,648
27,31.1607,423
30,22.3981,320
38.8,11.9733,294
54.3,5.6781,12
